0	429	220.76	105	286	147.33	70
1	434	202.088	91	278	129.382	10
2	434	182.802	95	270	110.038	13
3	434	187.486	90	270	105.182	11
4	434	196.13	85	270	106.008	11
5	423	199.87	96	194	100.756	11
6	427	208.73	94	184	105.65	9
7	436	219.942	96	193	108.636	10
8	456	214.312	93	185	102.242	8
9	465	222.21	86	152	105.564	15
10	465	222.128	72	189	105.53	9
11	501	235.564	96	175	111.212	15
12	556	245.374	110	155	109.336	15
13	473	253.294	100	151	111.49	11
14	506	268.834	108	156	114.8	17
15	506	274.96	103	157	114.596	15
16	552	274.364	111	188	117.132	13
17	558	288.28	102	172	116.416	16
18	522	299.172	117	169	120.86	16
19	581	299.89	104	176	118.974	11
20	637	306.75	122	157	116.444	13
21	508	306.188	132	188	116.654	11
22	532	311.622	138	184	118.862	12
23	556	307.688	138	173	120.66	11
24	549	314.158	126	177	119.486	17
25	585	324.646	117	177	120.16	17
26	571	334.092	104	182	122.07	17
27	558	346.896	128	177	120.59	17
28	582	343.084	122	199	119.85	17
29	565	354.854	141	164	121.29	10
30	569	354.688	153	170	120.532	13
31	567	353.778	164	164	121.582	17
32	602	360.67	145	189	120.712	16
33	656	356.734	117	169	121.396	17
34	656	370.23	142	165	121.762	17
35	639	384.614	159	181	123.596	12
36	668	400.804	137	169	121.528	17
37	727	400.012	149	180	122.438	17
38	670	389.542	167	221	120.308	13
39	736	400.284	176	181	120.276	16
40	749	389.486	152	171	120.46	16
41	829	411.82	125	177	121.666	16
42	820	405.912	130	168	120.242	16
43	847	416.554	120	195	120.74	17
44	822	461.364	133	161	121.572	13
45	822	445.476	122	211	120.204	11
46	851	439.496	72	209	118.288	13
47	856	440.026	129	175	122.392	13
48	835	438.662	134	175	121.308	12
49	870	456.262	117	176	118.718	12
50	817	463.566	165	165	119.634	12
51	875	442.524	112	178	120.796	11
52	914	469.062	174	170	118.07	10
53	914	492.926	232	170	116.764	13
54	936	512.708	173	166	115.628	13
55	957	520.5	245	177	112.892	13
56	930	524.496	213	177	113.902	11
57	932	528.458	230	158	116.886	17
58	911	543.692	163	171	115.722	12
59	887	542.164	175	165	114.52	10
60	893	539.904	206	171	116.73	20
61	948	533.93	163	164	114.68	18
62	947	528.172	169	163	116.338	11
63	926	537.076	177	173	118.556	12
64	964	550.612	162	172	118.546	18
65	965	588.396	144	168	118.02	18
66	965	611.824	147	187	117.934	11
67	965	611.632	131	174	113.356	10
68	942	623.36	151	183	117.864	12
69	960	624.49	124	177	119.854	10
70	975	608.08	146	182	119.116	14
71	953	617.502	194	169	119.88	16
72	965	618.044	242	183	119.444	10
73	1013	623.05	194	183	114.558	10
74	979	621.106	354	175	113.464	11
75	990	609.176	407	174	115.342	11
76	995	637.048	365	168	113.778	9
77	1006	632.694	330	170	114.018	10
78	966	601.054	365	177	113.39	11
79	928	582.304	344	170	117.244	18
80	938	587.012	355	185	115.102	11
81	888	577.158	373	180	111.86	12
82	888	576.432	361	184	113.548	10
83	827	577.128	355	166	113.75	18
84	843	570.316	340	158	108.724	12
85	787	568.992	340	165	108.826	11
86	790	555.688	374	170	112.034	18
87	778	548.332	351	170	110.652	10
88	811	531.954	331	170	114.946	18
89	773	523.68	304	159	111.568	17
90	782	535.33	286	197	112.188	17
91	832	536.766	300	156	113.722	16
92	777	524.418	300	156	112.412	18
93	780	522.028	274	195	109.1	11
94	777	528.342	329	193	112.296	15
95	807	525.466	269	167	114.266	17
96	815	511.286	246	185	113.996	11
97	843	517.138	245	154	112.102	11
98	790	513.956	251	152	115.114	17
99	854	504.88	239	180	108.528	10
100	794	508.222	268	156	107.502	12
101	840	516.462	288	167	111.806	11
102	830	533.224	271	157	109.532	9
103	856	535.132	247	154	107.296	9
104	846	532.178	301	162	105.85	8
105	842	532.784	275	146	106.344	18
106	849	528.834	275	158	103.03	10
107	786	540.024	294	186	105.744	13
108	768	544.812	252	152	105.874	10
109	763	553.072	252	146	107.264	14
110	795	554.378	277	151	110.418	18
111	781	544.926	273	183	110.34	18
112	746	534.738	277	143	108.542	15
113	761	540.584	268	220	109.81	15
114	761	528.582	276	153	106.502	13
115	752	530.404	275	152	106.896	12
116	786	522.204	287	179	107.352	18
117	785	522.968	294	150	107.708	12
118	864	527.74	260	137	105.492	16
119	877	529.838	233	150	105.854	15
120	880	522.728	219	157	107.048	17
121	785	519.51	258	158	103.96	10
122	806	509.288	242	154	100.618	13
123	787	505.302	196	167	101.858	15
124	795	492.226	196	146	101.556	10
125	756	496.586	220	142	97.682	17
