Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
55201.914,0.0,0.0,2142.0,119.0,1135.0,63.055557,654.0,36.333332,39.0,2.1666667,1.0,0.055555556,30.0,1.6666666,0.0,0.0,9.0,0.5
64137.91,1.0,0.055555556,2374.0,131.88889,1032.0,57.333332,756.0,42.0,49.0,2.7222223,0.0,0.0,40.0,2.2222223,2.0,0.11111111,7.0,0.3888889
48828.785,3.0,0.16666667,1775.0,98.611115,926.0,51.444443,861.0,47.833332,14.0,0.7777778,2.0,0.11111111,9.0,0.5,0.0,0.0,5.0,0.2777778
39960.43,1.0,0.055555556,1470.0,81.666664,943.0,52.38889,845.0,46.944443,13.0,0.7222222,0.0,0.0,9.0,0.5,0.0,0.0,4.0,0.22222222
43770.51,2.0,0.11111111,1590.0,88.333336,846.0,47.0,943.0,52.38889,23.0,1.2777778,0.0,0.0,20.0,1.1111112,0.0,0.0,3.0,0.16666667
51874.496,1.0,0.055555556,1947.0,108.166664,1026.0,57.0,764.0,42.444443,35.0,1.9444444,0.0,0.0,30.0,1.6666666,1.0,0.055555556,4.0,0.22222222
47493.125,2.0,0.11111111,1729.0,96.05556,905.0,50.27778,882.0,49.0,34.0,1.8888888,3.0,0.16666667,23.0,1.2777778,2.0,0.11111111,8.0,0.44444445
49313.9,1.0,0.055555556,1787.0,99.27778,873.0,48.5,915.0,50.833332,32.0,1.7777778,2.0,0.11111111,21.0,1.1666666,4.0,0.22222222,7.0,0.3888889
56219.652,3.0,0.16666667,2037.0,113.166664,1150.0,63.88889,640.0,35.555557,28.0,1.5555556,1.0,0.055555556,24.0,1.3333334,1.0,0.055555556,3.0,0.16666667
53174.04,1.0,0.055555556,2042.0,113.44444,1050.0,58.333332,740.0,41.11111,38.0,2.1111112,0.0,0.0,27.0,1.5,1.0,0.055555556,10.0,0.5555556
55946.574,3.0,0.16666667,2118.0,117.666664,1140.0,63.333332,650.0,36.11111,45.0,2.5,1.0,0.055555556,35.0,1.9444444,0.0,0.0,10.0,0.5555556
58662.797,3.0,0.16666667,2279.0,126.611115,1207.0,67.05556,581.0,32.27778,54.0,3.0,3.0,0.16666667,31.0,1.7222222,9.0,0.5,13.0,0.7222222
49088.03,3.0,0.16666667,1847.0,102.611115,1183.0,65.72222,606.0,33.666668,37.0,2.0555556,1.0,0.055555556,29.0,1.6111112,0.0,0.0,8.0,0.44444445
48109.99,1.0,0.055555556,1791.0,99.5,911.0,50.61111,878.0,48.77778,40.0,2.2222223,2.0,0.11111111,14.0,0.7777778,2.0,0.11111111,24.0,1.3333334
58088.523,3.0,0.16666667,2187.0,121.5,1050.0,58.333332,738.0,41.0,26.0,1.4444444,0.0,0.0,15.0,0.8333333,0.0,0.0,11.0,0.6111111
53378.176,1.0,0.055555556,1893.0,105.166664,900.0,50.0,888.0,49.333332,48.0,2.6666667,2.0,0.11111111,37.0,2.0555556,0.0,0.0,11.0,0.6111111
51178.76,2.0,0.11111111,2060.0,114.44444,1057.0,58.72222,732.0,40.666668,40.0,2.2222223,3.0,0.16666667,23.0,1.2777778,5.0,0.2777778,11.0,0.6111111
45873.055,3.0,0.16666667,1662.0,92.333336,1035.0,57.5,753.0,41.833332,28.0,1.5555556,1.0,0.055555556,15.0,0.8333333,1.0,0.055555556,12.0,0.6666667
52925.848,2.0,0.11111111,1930.0,107.22222,964.0,53.555557,827.0,45.944443,43.0,2.3888888,0.0,0.0,37.0,2.0555556,1.0,0.055555556,5.0,0.2777778
54740.96,1.0,0.055555556,2055.0,114.166664,993.0,55.166668,794.0,44.11111,43.0,2.3888888,1.0,0.055555556,28.0,1.5555556,2.0,0.11111111,13.0,0.7222222
