Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
55522.78,0.0,0.0,2130.0,118.333336,1174.0,65.22222,621.0,34.5,38.0,2.1111112,3.0,0.16666667,27.0,1.5,1.0,0.055555556,10.0,0.5555556
68011.58,2.0,0.11111111,2528.0,140.44444,1233.0,68.5,558.0,31.0,52.0,2.8888888,2.0,0.11111111,46.0,2.5555556,0.0,0.0,6.0,0.33333334
53510.082,3.0,0.16666667,1973.0,109.611115,1108.0,61.555557,682.0,37.88889,31.0,1.7222222,1.0,0.055555556,24.0,1.3333334,0.0,0.0,7.0,0.3888889
45207.973,2.0,0.11111111,1620.0,90.0,1056.0,58.666668,733.0,40.72222,22.0,1.2222222,1.0,0.055555556,19.0,1.0555556,1.0,0.055555556,2.0,0.11111111
49719.63,2.0,0.11111111,1849.0,102.72222,986.0,54.77778,801.0,44.5,41.0,2.2777777,1.0,0.055555556,33.0,1.8333334,0.0,0.0,8.0,0.44444445
55183.25,1.0,0.055555556,2124.0,118.0,1171.0,65.05556,619.0,34.38889,44.0,2.4444444,1.0,0.055555556,39.0,2.1666667,0.0,0.0,5.0,0.2777778
51928.016,1.0,0.055555556,1973.0,109.611115,1110.0,61.666668,680.0,37.77778,46.0,2.5555556,2.0,0.11111111,23.0,1.2777778,8.0,0.44444445,15.0,0.8333333
56131.297,2.0,0.11111111,2104.0,116.888885,1019.0,56.61111,772.0,42.88889,37.0,2.0555556,3.0,0.16666667,30.0,1.6666666,1.0,0.055555556,6.0,0.33333334
62556.457,5.0,0.2777778,2254.0,125.22222,1205.0,66.94444,586.0,32.555557,34.0,1.8888888,1.0,0.055555556,31.0,1.7222222,0.0,0.0,3.0,0.16666667
60031.477,2.0,0.11111111,2335.0,129.72223,1137.0,63.166668,651.0,36.166668,47.0,2.6111112,4.0,0.22222222,41.0,2.2777777,0.0,0.0,6.0,0.33333334
63868.184,4.0,0.22222222,2434.0,135.22223,1077.0,59.833332,709.0,39.38889,48.0,2.6666667,1.0,0.055555556,33.0,1.8333334,1.0,0.055555556,14.0,0.7777778
58411.773,3.0,0.16666667,2244.0,124.666664,1100.0,61.11111,690.0,38.333332,57.0,3.1666667,3.0,0.16666667,39.0,2.1666667,7.0,0.3888889,11.0,0.6111111
44558.715,2.0,0.11111111,1752.0,97.333336,1178.0,65.44444,612.0,34.0,30.0,1.6666666,0.0,0.0,21.0,1.1666666,0.0,0.0,9.0,0.5
49491.867,1.0,0.055555556,1850.0,102.77778,998.0,55.444443,790.0,43.88889,47.0,2.6111112,2.0,0.11111111,31.0,1.7222222,1.0,0.055555556,15.0,0.8333333
59219.91,3.0,0.16666667,2196.0,122.0,1107.0,61.5,681.0,37.833332,25.0,1.3888888,1.0,0.055555556,18.0,1.0,0.0,0.0,7.0,0.3888889
62122.598,2.0,0.11111111,2167.0,120.388885,929.0,51.61111,857.0,47.61111,56.0,3.1111112,4.0,0.22222222,47.0,2.6111112,0.0,0.0,9.0,0.5
51470.527,1.0,0.055555556,1949.0,108.27778,1013.0,56.27778,777.0,43.166668,46.0,2.5555556,5.0,0.2777778,33.0,1.8333334,3.0,0.16666667,10.0,0.5555556
45069.92,2.0,0.11111111,1610.0,89.44444,1127.0,62.61111,665.0,36.944443,35.0,1.9444444,2.0,0.11111111,27.0,1.5,0.0,0.0,8.0,0.44444445
53437.297,2.0,0.11111111,1928.0,107.111115,881.0,48.944443,907.0,50.38889,41.0,2.2777777,0.0,0.0,32.0,1.7777778,0.0,0.0,9.0,0.5
55441.22,2.0,0.11111111,2066.0,114.77778,1010.0,56.11111,780.0,43.333332,52.0,2.8888888,1.0,0.055555556,38.0,2.1111112,1.0,0.055555556,13.0,0.7222222
