Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
56597.473,0.0,0.0,2124.0,118.0,1020.0,56.666668,769.0,42.72222,46.0,2.5555556,2.0,0.11111111,35.0,1.9444444,1.0,0.055555556,10.0,0.5555556
70289.59,2.0,0.11111111,2462.0,136.77777,1047.0,58.166668,743.0,41.27778,55.0,3.0555556,1.0,0.055555556,37.0,2.0555556,6.0,0.33333334,12.0,0.6666667
49472.934,3.0,0.16666667,1787.0,99.27778,1055.0,58.61111,733.0,40.72222,29.0,1.6111112,2.0,0.11111111,19.0,1.0555556,1.0,0.055555556,9.0,0.5
37425.32,1.0,0.055555556,1338.0,74.333336,983.0,54.61111,807.0,44.833332,22.0,1.2222222,0.0,0.0,20.0,1.1111112,0.0,0.0,2.0,0.11111111
39070.008,1.0,0.055555556,1422.0,79.0,901.0,50.055557,888.0,49.333332,28.0,1.5555556,0.0,0.0,21.0,1.1666666,0.0,0.0,7.0,0.3888889
50983.754,1.0,0.055555556,1853.0,102.94444,979.0,54.38889,810.0,45.0,45.0,2.5,1.0,0.055555556,32.0,1.7777778,1.0,0.055555556,12.0,0.6666667
48437.24,1.0,0.055555556,1874.0,104.111115,1012.0,56.22222,778.0,43.22222,36.0,2.0,3.0,0.16666667,19.0,1.0555556,4.0,0.22222222,13.0,0.7222222
53539.363,2.0,0.11111111,1924.0,106.888885,921.0,51.166668,866.0,48.11111,41.0,2.2777777,2.0,0.11111111,29.0,1.6111112,1.0,0.055555556,11.0,0.6111111
55429.832,3.0,0.16666667,2016.0,112.0,1101.0,61.166668,690.0,38.333332,27.0,1.5,1.0,0.055555556,19.0,1.0555556,1.0,0.055555556,7.0,0.3888889
56621.45,1.0,0.055555556,2174.0,120.77778,1158.0,64.333336,631.0,35.055557,44.0,2.4444444,6.0,0.33333334,32.0,1.7777778,0.0,0.0,12.0,0.6666667
57645.863,3.0,0.16666667,2065.0,114.72222,915.0,50.833332,873.0,48.5,52.0,2.8888888,2.0,0.11111111,37.0,2.0555556,3.0,0.16666667,11.0,0.6111111
55957.582,2.0,0.11111111,2150.0,119.44444,999.0,55.5,789.0,43.833332,52.0,2.8888888,1.0,0.055555556,39.0,2.1666667,0.0,0.0,13.0,0.7222222
47413.77,3.0,0.16666667,1738.0,96.55556,1166.0,64.77778,625.0,34.72222,36.0,2.0,1.0,0.055555556,30.0,1.6666666,0.0,0.0,6.0,0.33333334
50195.81,1.0,0.055555556,1874.0,104.111115,1027.0,57.055557,762.0,42.333332,46.0,2.5555556,1.0,0.055555556,27.0,1.5,2.0,0.11111111,15.0,0.8333333
51425.47,2.0,0.11111111,1868.0,103.77778,1084.0,60.22222,705.0,39.166668,30.0,1.6666666,1.0,0.055555556,23.0,1.2777778,0.0,0.0,7.0,0.3888889
58116.57,1.0,0.055555556,2074.0,115.22222,960.0,53.333332,827.0,45.944443,57.0,3.1666667,1.0,0.055555556,30.0,1.6666666,3.0,0.16666667,24.0,1.3333334
46999.953,1.0,0.055555556,1799.0,99.94444,1031.0,57.27778,756.0,42.0,49.0,2.7222223,2.0,0.11111111,38.0,2.1111112,1.0,0.055555556,9.0,0.5
47530.293,2.0,0.11111111,1718.0,95.44444,1153.0,64.05556,639.0,35.5,34.0,1.8888888,1.0,0.055555556,25.0,1.3888888,0.0,0.0,9.0,0.5
53557.49,2.0,0.11111111,1945.0,108.05556,910.0,50.555557,877.0,48.72222,44.0,2.4444444,0.0,0.0,32.0,1.7777778,3.0,0.16666667,9.0,0.5
52802.145,1.0,0.055555556,1916.0,106.44444,1016.0,56.444443,772.0,42.88889,57.0,3.1666667,1.0,0.055555556,41.0,2.2777777,2.0,0.11111111,13.0,0.7222222
