Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
56115.8,0.0,0.0,2118.0,117.666664,1182.0,65.666664,609.0,33.833332,35.0,1.9444444,4.0,0.22222222,32.0,1.7777778,0.0,0.0,3.0,0.16666667
75407.04,1.0,0.055555556,2681.0,148.94444,1189.0,66.05556,599.0,33.27778,57.0,3.1666667,7.0,0.3888889,49.0,2.7222223,0.0,0.0,8.0,0.44444445
53468.22,2.0,0.11111111,2026.0,112.55556,1141.0,63.38889,649.0,36.055557,24.0,1.3333334,1.0,0.055555556,17.0,0.9444444,2.0,0.11111111,5.0,0.2777778
42292.76,1.0,0.055555556,1595.0,88.611115,1278.0,71.0,515.0,28.61111,19.0,1.0555556,2.0,0.11111111,16.0,0.8888889,0.0,0.0,3.0,0.16666667
49317.83,2.0,0.11111111,1758.0,97.666664,1023.0,56.833332,767.0,42.61111,43.0,2.3888888,1.0,0.055555556,36.0,2.0,1.0,0.055555556,6.0,0.33333334
55437.61,1.0,0.055555556,2101.0,116.72222,1185.0,65.833336,605.0,33.61111,41.0,2.2777777,2.0,0.11111111,33.0,1.8333334,0.0,0.0,8.0,0.44444445
47637.695,1.0,0.055555556,1720.0,95.55556,990.0,55.0,801.0,44.5,32.0,1.7777778,3.0,0.16666667,21.0,1.1666666,1.0,0.055555556,9.0,0.5
47646.883,2.0,0.11111111,1606.0,89.22222,843.0,46.833332,943.0,52.38889,32.0,1.7777778,6.0,0.33333334,25.0,1.3888888,2.0,0.11111111,5.0,0.2777778
62508.75,4.0,0.22222222,2224.0,123.55556,1153.0,64.05556,640.0,35.555557,32.0,1.7777778,3.0,0.16666667,26.0,1.4444444,0.0,0.0,6.0,0.33333334
61979.633,2.0,0.11111111,2383.0,132.38889,1190.0,66.111115,601.0,33.38889,44.0,2.4444444,9.0,0.5,34.0,1.8888888,1.0,0.055555556,9.0,0.5
56882.42,3.0,0.16666667,2035.0,113.05556,989.0,54.944443,797.0,44.27778,49.0,2.7222223,2.0,0.11111111,42.0,2.3333333,0.0,0.0,7.0,0.3888889
63816.344,2.0,0.11111111,2415.0,134.16667,1229.0,68.27778,560.0,31.11111,67.0,3.7222223,6.0,0.33333334,54.0,3.0,2.0,0.11111111,11.0,0.6111111
46360.562,2.0,0.11111111,1711.0,95.05556,1173.0,65.166664,619.0,34.38889,36.0,2.0,3.0,0.16666667,26.0,1.4444444,3.0,0.16666667,7.0,0.3888889
53467.44,1.0,0.055555556,1967.0,109.27778,926.0,51.444443,860.0,47.77778,47.0,2.6111112,3.0,0.16666667,39.0,2.1666667,0.0,0.0,8.0,0.44444445
66210.875,4.0,0.22222222,2461.0,136.72223,1353.0,75.166664,437.0,24.277779,35.0,1.9444444,10.0,0.5555556,30.0,1.6666666,0.0,0.0,5.0,0.2777778
68718.125,2.0,0.11111111,2412.0,134.0,1144.0,63.555557,644.0,35.77778,68.0,3.7777777,6.0,0.33333334,56.0,3.1111112,2.0,0.11111111,10.0,0.5555556
57025.945,1.0,0.055555556,2267.0,125.94444,1196.0,66.44444,593.0,32.944443,50.0,2.7777777,1.0,0.055555556,39.0,2.1666667,0.0,0.0,11.0,0.6111111
51176.84,3.0,0.16666667,1796.0,99.77778,1372.0,76.22222,422.0,23.444445,44.0,2.4444444,7.0,0.3888889,31.0,1.7222222,5.0,0.2777778,8.0,0.44444445
56466.848,2.0,0.11111111,2041.0,113.388885,1031.0,57.27778,758.0,42.11111,46.0,2.5555556,0.0,0.0,32.0,1.7777778,2.0,0.11111111,12.0,0.6666667
65517.527,2.0,0.11111111,2311.0,128.38889,1014.0,56.333332,773.0,42.944443,70.0,3.8888888,7.0,0.3888889,52.0,2.8888888,4.0,0.22222222,14.0,0.7777778
