Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
54252.953,0.0,0.0,2079.0,115.5,1106.0,61.444443,686.0,38.11111,35.0,1.9444444,0.0,0.0,22.0,1.2222222,1.0,0.055555556,11.0,0.6111111
59275.164,1.0,0.055555556,2195.0,121.94444,1192.0,66.22222,598.0,33.22222,43.0,2.3888888,1.0,0.055555556,28.0,1.5555556,1.0,0.055555556,13.0,0.7222222
49978.34,1.0,0.055555556,1974.0,109.666664,1127.0,62.61111,663.0,36.833332,24.0,1.3333334,0.0,0.0,16.0,0.8888889,0.0,0.0,8.0,0.44444445
37627.54,1.0,0.055555556,1353.0,75.166664,869.0,48.27778,919.0,51.055557,12.0,0.6666667,0.0,0.0,9.0,0.5,0.0,0.0,3.0,0.16666667
42625.152,2.0,0.11111111,1534.0,85.22222,901.0,50.055557,889.0,49.38889,26.0,1.4444444,1.0,0.055555556,19.0,1.0555556,0.0,0.0,7.0,0.3888889
51843.824,1.0,0.055555556,2068.0,114.888885,1311.0,72.833336,479.0,26.61111,39.0,2.1666667,1.0,0.055555556,28.0,1.5555556,0.0,0.0,11.0,0.6111111
46900.31,1.0,0.055555556,1739.0,96.611115,897.0,49.833332,891.0,49.5,18.0,1.0,4.0,0.22222222,10.0,0.5555556,0.0,0.0,8.0,0.44444445
50365.22,2.0,0.11111111,1844.0,102.44444,1064.0,59.11111,725.0,40.27778,40.0,2.2222223,1.0,0.055555556,30.0,1.6666666,1.0,0.055555556,9.0,0.5
60724.465,4.0,0.22222222,2227.0,123.72222,1125.0,62.5,663.0,36.833332,30.0,1.6666666,2.0,0.11111111,22.0,1.2222222,3.0,0.16666667,5.0,0.2777778
43718.895,1.0,0.055555556,1663.0,92.388885,1115.0,61.944443,675.0,37.5,20.0,1.1111112,5.0,0.2777778,15.0,0.8333333,0.0,0.0,5.0,0.2777778
58866.387,3.0,0.16666667,2240.0,124.44444,1037.0,57.61111,750.0,41.666668,45.0,2.5,2.0,0.11111111,31.0,1.7222222,2.0,0.11111111,12.0,0.6666667
51792.97,2.0,0.11111111,1920.0,106.666664,941.0,52.27778,846.0,47.0,55.0,3.0555556,0.0,0.0,34.0,1.8888888,1.0,0.055555556,19.0,1.0555556
37373.59,1.0,0.055555556,1422.0,79.0,1164.0,64.666664,627.0,34.833332,23.0,1.2777778,0.0,0.0,15.0,0.8333333,0.0,0.0,8.0,0.44444445
47582.547,2.0,0.11111111,1745.0,96.94444,985.0,54.72222,804.0,44.666668,39.0,2.1666667,0.0,0.0,26.0,1.4444444,2.0,0.11111111,11.0,0.6111111
50189.81,2.0,0.11111111,1843.0,102.388885,1120.0,62.22222,670.0,37.22222,27.0,1.5,3.0,0.16666667,24.0,1.3333334,0.0,0.0,3.0,0.16666667
55718.53,1.0,0.055555556,1989.0,110.5,1142.0,63.444443,651.0,36.166668,57.0,3.1666667,2.0,0.11111111,36.0,2.0,2.0,0.11111111,17.0,0.9444444
49156.477,1.0,0.055555556,2035.0,113.05556,1281.0,71.166664,509.0,28.277779,42.0,2.3333333,2.0,0.11111111,27.0,1.5,1.0,0.055555556,14.0,0.7777778
46367.363,3.0,0.16666667,1629.0,90.5,1221.0,67.833336,570.0,31.666666,40.0,2.2222223,1.0,0.055555556,26.0,1.4444444,4.0,0.22222222,10.0,0.5555556
46435.113,0.0,0.0,1728.0,96.0,960.0,53.333332,830.0,46.11111,39.0,2.1666667,0.0,0.0,31.0,1.7222222,1.0,0.055555556,7.0,0.3888889
48704.69,1.0,0.055555556,1692.0,94.0,855.0,47.5,935.0,51.944443,45.0,2.5,2.0,0.11111111,33.0,1.8333334,3.0,0.16666667,9.0,0.5
