Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
50843.305,1.0,0.055555556,1900.0,105.55556,1079.0,59.944443,713.0,39.61111,33.0,1.8333334,1.0,0.055555556,29.0,1.6111112,0.0,0.0,4.0,0.22222222
57751.812,2.0,0.11111111,2076.0,115.333336,1041.0,57.833332,746.0,41.444443,41.0,2.2777777,1.0,0.055555556,30.0,1.6666666,2.0,0.11111111,9.0,0.5
54425.926,3.0,0.16666667,2006.0,111.44444,951.0,52.833332,839.0,46.61111,33.0,1.8333334,3.0,0.16666667,19.0,1.0555556,0.0,0.0,14.0,0.7777778
40543.32,1.0,0.055555556,1468.0,81.55556,973.0,54.055557,815.0,45.27778,14.0,0.7777778,0.0,0.0,13.0,0.7222222,0.0,0.0,1.0,0.055555556
40125.547,2.0,0.11111111,1449.0,80.5,829.0,46.055557,960.0,53.333332,17.0,0.9444444,0.0,0.0,15.0,0.8333333,0.0,0.0,2.0,0.11111111
47867.176,1.0,0.055555556,1884.0,104.666664,1265.0,70.27778,526.0,29.222221,31.0,1.7222222,1.0,0.055555556,21.0,1.1666666,0.0,0.0,10.0,0.5555556
50319.21,2.0,0.11111111,1880.0,104.44444,977.0,54.27778,812.0,45.11111,26.0,1.4444444,4.0,0.22222222,15.0,0.8333333,2.0,0.11111111,9.0,0.5
44353.574,1.0,0.055555556,1602.0,89.0,756.0,42.0,1031.0,57.27778,27.0,1.5,2.0,0.11111111,18.0,1.0,3.0,0.16666667,6.0,0.33333334
53207.305,3.0,0.16666667,1944.0,108.0,1275.0,70.833336,516.0,28.666666,25.0,1.3888888,2.0,0.11111111,17.0,0.9444444,0.0,0.0,8.0,0.44444445
49390.375,1.0,0.055555556,1937.0,107.611115,875.0,48.61111,913.0,50.72222,24.0,1.3333334,2.0,0.11111111,16.0,0.8888889,0.0,0.0,8.0,0.44444445
57074.996,3.0,0.16666667,2214.0,123.0,992.0,55.11111,795.0,44.166668,39.0,2.1666667,2.0,0.11111111,34.0,1.8888888,0.0,0.0,5.0,0.2777778
49503.13,2.0,0.11111111,1832.0,101.77778,949.0,52.72222,838.0,46.555557,40.0,2.2222223,0.0,0.0,28.0,1.5555556,2.0,0.11111111,10.0,0.5555556
40180.03,1.0,0.055555556,1579.0,87.72222,1245.0,69.166664,547.0,30.38889,29.0,1.6111112,0.0,0.0,17.0,0.9444444,0.0,0.0,12.0,0.6666667
46572.535,1.0,0.055555556,1721.0,95.611115,906.0,50.333332,881.0,48.944443,30.0,1.6666666,2.0,0.11111111,25.0,1.3888888,0.0,0.0,5.0,0.2777778
49194.105,2.0,0.11111111,1814.0,100.77778,988.0,54.88889,800.0,44.444443,24.0,1.3333334,0.0,0.0,18.0,1.0,0.0,0.0,6.0,0.33333334
52085.39,2.0,0.11111111,1760.0,97.77778,1018.0,56.555557,770.0,42.77778,47.0,2.6111112,4.0,0.22222222,36.0,2.0,0.0,0.0,11.0,0.6111111
54182.0,3.0,0.16666667,2069.0,114.94444,1082.0,60.11111,707.0,39.27778,41.0,2.2777777,4.0,0.22222222,28.0,1.5555556,3.0,0.16666667,10.0,0.5555556
53109.785,3.0,0.16666667,1903.0,105.72222,1214.0,67.44444,575.0,31.944445,39.0,2.1666667,1.0,0.055555556,31.0,1.7222222,1.0,0.055555556,6.0,0.33333334
45197.145,1.0,0.055555556,1648.0,91.55556,939.0,52.166668,849.0,47.166668,28.0,1.5555556,1.0,0.055555556,19.0,1.0555556,1.0,0.055555556,7.0,0.3888889
55832.055,1.0,0.055555556,2013.0,111.833336,901.0,50.055557,888.0,49.333332,62.0,3.4444444,2.0,0.11111111,42.0,2.3333333,5.0,0.2777778,15.0,0.8333333
