Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
55274.742,0.0,0.0,2052.0,114.0,1015.0,56.38889,774.0,43.0,37.0,2.0555556,4.0,0.22222222,34.0,1.8888888,0.0,0.0,3.0,0.16666667
64814.207,2.0,0.11111111,2330.0,129.44444,1122.0,62.333332,667.0,37.055557,60.0,3.3333333,2.0,0.11111111,44.0,2.4444444,3.0,0.16666667,11.0,0.6111111
53180.29,3.0,0.16666667,1981.0,110.05556,1070.0,59.444443,718.0,39.88889,28.0,1.5555556,2.0,0.11111111,24.0,1.3333334,0.0,0.0,4.0,0.22222222
41833.652,1.0,0.055555556,1513.0,84.05556,949.0,52.72222,841.0,46.72222,14.0,0.7777778,0.0,0.0,11.0,0.6111111,0.0,0.0,3.0,0.16666667
45059.23,2.0,0.11111111,1644.0,91.333336,980.0,54.444443,811.0,45.055557,33.0,1.8333334,1.0,0.055555556,30.0,1.6666666,0.0,0.0,3.0,0.16666667
51543.28,1.0,0.055555556,1905.0,105.833336,1004.0,55.77778,785.0,43.61111,44.0,2.4444444,0.0,0.0,36.0,2.0,0.0,0.0,8.0,0.44444445
45510.44,1.0,0.055555556,1769.0,98.27778,1068.0,59.333332,722.0,40.11111,35.0,1.9444444,2.0,0.11111111,23.0,1.2777778,0.0,0.0,12.0,0.6666667
51080.445,2.0,0.11111111,1841.0,102.27778,853.0,47.38889,933.0,51.833332,37.0,2.0555556,1.0,0.055555556,26.0,1.4444444,2.0,0.11111111,9.0,0.5
63131.434,5.0,0.2777778,2310.0,128.33333,1310.0,72.77778,480.0,26.666666,36.0,2.0,2.0,0.11111111,28.0,1.5555556,0.0,0.0,8.0,0.44444445
56293.902,1.0,0.055555556,2176.0,120.888885,904.0,50.22222,883.0,49.055557,35.0,1.9444444,4.0,0.22222222,30.0,1.6666666,0.0,0.0,5.0,0.2777778
57594.043,3.0,0.16666667,2204.0,122.44444,1109.0,61.61111,679.0,37.72222,57.0,3.1666667,0.0,0.0,44.0,2.4444444,1.0,0.055555556,12.0,0.6666667
58336.234,2.0,0.11111111,2288.0,127.111115,1078.0,59.88889,711.0,39.5,51.0,2.8333333,4.0,0.22222222,41.0,2.2777777,1.0,0.055555556,9.0,0.5
49606.656,3.0,0.16666667,1968.0,109.333336,1216.0,67.55556,573.0,31.833334,31.0,1.7222222,0.0,0.0,23.0,1.2777778,0.0,0.0,8.0,0.44444445
47943.17,1.0,0.055555556,1864.0,103.55556,1043.0,57.944443,748.0,41.555557,29.0,1.6111112,1.0,0.055555556,16.0,0.8888889,0.0,0.0,13.0,0.7222222
58233.64,3.0,0.16666667,2166.0,120.333336,1140.0,63.333332,650.0,36.11111,25.0,1.3888888,3.0,0.16666667,20.0,1.1111112,0.0,0.0,5.0,0.2777778
58581.516,1.0,0.055555556,2156.0,119.77778,1049.0,58.27778,738.0,41.0,61.0,3.3888888,1.0,0.055555556,49.0,2.7222223,1.0,0.055555556,11.0,0.6111111
50892.57,1.0,0.055555556,2008.0,111.55556,1118.0,62.11111,671.0,37.27778,37.0,2.0555556,3.0,0.16666667,30.0,1.6666666,0.0,0.0,7.0,0.3888889
52275.55,3.0,0.16666667,1865.0,103.611115,1210.0,67.22222,582.0,32.333332,39.0,2.1666667,5.0,0.2777778,30.0,1.6666666,3.0,0.16666667,6.0,0.33333334
58701.75,3.0,0.16666667,2154.0,119.666664,928.0,51.555557,858.0,47.666668,52.0,2.8888888,1.0,0.055555556,39.0,2.1666667,4.0,0.22222222,9.0,0.5
57994.27,1.0,0.055555556,2162.0,120.111115,958.0,53.22222,829.0,46.055557,52.0,2.8888888,1.0,0.055555556,43.0,2.3888888,1.0,0.055555556,7.0,0.3888889
