Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
52092.453,0.0,0.0,2010.0,111.666664,1162.0,64.55556,631.0,35.055557,35.0,1.9444444,1.0,0.055555556,24.0,1.3333334,1.0,0.055555556,10.0,0.5555556
61084.855,1.0,0.055555556,2209.0,122.72222,1134.0,63.0,658.0,36.555557,45.0,2.5,1.0,0.055555556,37.0,2.0555556,1.0,0.055555556,7.0,0.3888889
52912.3,3.0,0.16666667,1994.0,110.77778,1059.0,58.833332,730.0,40.555557,32.0,1.7777778,1.0,0.055555556,18.0,1.0,2.0,0.11111111,11.0,0.6111111
38988.582,1.0,0.055555556,1381.0,76.72222,979.0,54.38889,812.0,45.11111,23.0,1.2777778,0.0,0.0,16.0,0.8888889,1.0,0.055555556,6.0,0.33333334
48246.273,2.0,0.11111111,1793.0,99.611115,1005.0,55.833332,782.0,43.444443,38.0,2.1111112,2.0,0.11111111,30.0,1.6666666,0.0,0.0,8.0,0.44444445
51808.305,1.0,0.055555556,1945.0,108.05556,1024.0,56.88889,765.0,42.5,46.0,2.5555556,1.0,0.055555556,40.0,2.2222223,0.0,0.0,6.0,0.33333334
49264.78,1.0,0.055555556,1883.0,104.611115,919.0,51.055557,868.0,48.22222,43.0,2.3888888,1.0,0.055555556,25.0,1.3888888,7.0,0.3888889,11.0,0.6111111
48164.445,1.0,0.055555556,1818.0,101.0,951.0,52.833332,840.0,46.666668,32.0,1.7777778,2.0,0.11111111,20.0,1.1111112,0.0,0.0,12.0,0.6666667
60949.13,4.0,0.22222222,2205.0,122.5,1119.0,62.166668,669.0,37.166668,32.0,1.7777778,1.0,0.055555556,23.0,1.2777778,0.0,0.0,9.0,0.5
51671.902,1.0,0.055555556,1974.0,109.666664,991.0,55.055557,796.0,44.22222,39.0,2.1666667,5.0,0.2777778,28.0,1.5555556,0.0,0.0,11.0,0.6111111
51913.89,3.0,0.16666667,1886.0,104.77778,829.0,46.055557,958.0,53.22222,44.0,2.4444444,0.0,0.0,32.0,1.7777778,3.0,0.16666667,9.0,0.5
57759.992,2.0,0.11111111,2119.0,117.72222,967.0,53.72222,820.0,45.555557,64.0,3.5555556,2.0,0.11111111,33.0,1.8333334,7.0,0.3888889,24.0,1.3333334
45980.484,1.0,0.055555556,1877.0,104.27778,1198.0,66.55556,593.0,32.944443,28.0,1.5555556,0.0,0.0,22.0,1.2222222,0.0,0.0,6.0,0.33333334
45372.035,1.0,0.055555556,1620.0,90.0,916.0,50.88889,877.0,48.72222,37.0,2.0555556,2.0,0.11111111,18.0,1.0,2.0,0.11111111,17.0,0.9444444
51815.316,2.0,0.11111111,1877.0,104.27778,1063.0,59.055557,724.0,40.22222,26.0,1.4444444,0.0,0.0,19.0,1.0555556,0.0,0.0,7.0,0.3888889
56846.516,1.0,0.055555556,2094.0,116.333336,992.0,55.11111,794.0,44.11111,57.0,3.1666667,1.0,0.055555556,39.0,2.1666667,5.0,0.2777778,13.0,0.7222222
51771.53,1.0,0.055555556,2045.0,113.611115,1137.0,63.166668,652.0,36.22222,42.0,2.3333333,2.0,0.11111111,31.0,1.7222222,0.0,0.0,11.0,0.6111111
53147.152,3.0,0.16666667,1927.0,107.05556,1150.0,63.88889,639.0,35.5,42.0,2.3333333,1.0,0.055555556,28.0,1.5555556,4.0,0.22222222,10.0,0.5555556
56268.164,2.0,0.11111111,2085.0,115.833336,1032.0,57.333332,756.0,42.0,54.0,3.0,0.0,0.0,36.0,2.0,5.0,0.2777778,12.0,0.6666667
57562.26,2.0,0.11111111,2147.0,119.27778,1026.0,57.0,760.0,42.22222,50.0,2.7777777,0.0,0.0,35.0,1.9444444,1.0,0.055555556,13.0,0.7222222
