Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
55230.95,0.0,0.0,2047.0,113.72222,934.0,51.88889,855.0,47.5,40.0,2.2222223,2.0,0.11111111,31.0,1.7222222,0.0,0.0,9.0,0.5
64393.938,0.0,0.0,2325.0,129.16667,1012.0,56.22222,776.0,43.11111,42.0,2.3333333,5.0,0.2777778,31.0,1.7222222,2.0,0.11111111,8.0,0.44444445
58218.75,3.0,0.16666667,2240.0,124.44444,1154.0,64.111115,634.0,35.22222,23.0,1.2777778,1.0,0.055555556,14.0,0.7777778,1.0,0.055555556,8.0,0.44444445
43522.832,2.0,0.11111111,1554.0,86.333336,1118.0,62.11111,673.0,37.38889,20.0,1.1111112,1.0,0.055555556,17.0,0.9444444,0.0,0.0,3.0,0.16666667
44398.258,2.0,0.11111111,1557.0,86.5,834.0,46.333332,957.0,53.166668,24.0,1.3333334,3.0,0.16666667,21.0,1.1666666,0.0,0.0,3.0,0.16666667
54973.08,1.0,0.055555556,2035.0,113.05556,1083.0,60.166668,704.0,39.11111,46.0,2.5555556,4.0,0.22222222,36.0,2.0,2.0,0.11111111,8.0,0.44444445
49312.61,1.0,0.055555556,1850.0,102.77778,936.0,52.0,852.0,47.333332,27.0,1.5,4.0,0.22222222,18.0,1.0,0.0,0.0,9.0,0.5
58839.582,2.0,0.11111111,2103.0,116.833336,985.0,54.72222,805.0,44.72222,49.0,2.7222223,9.0,0.5,35.0,1.9444444,3.0,0.16666667,11.0,0.6111111
57137.24,1.0,0.055555556,2195.0,121.94444,1104.0,61.333332,687.0,38.166668,31.0,1.7222222,0.0,0.0,25.0,1.3888888,0.0,0.0,6.0,0.33333334
51753.21,0.0,0.0,1972.0,109.55556,1027.0,57.055557,761.0,42.27778,29.0,1.6111112,11.0,0.6111111,22.0,1.2222222,0.0,0.0,7.0,0.3888889
55891.465,3.0,0.16666667,1965.0,109.166664,936.0,52.0,855.0,47.5,48.0,2.6666667,3.0,0.16666667,35.0,1.9444444,2.0,0.11111111,11.0,0.6111111
64120.11,3.0,0.16666667,2411.0,133.94444,1168.0,64.888885,620.0,34.444443,55.0,3.0555556,4.0,0.22222222,43.0,2.3888888,1.0,0.055555556,10.0,0.5555556
46603.832,2.0,0.11111111,1754.0,97.44444,1187.0,65.94444,607.0,33.72222,33.0,1.8333334,2.0,0.11111111,23.0,1.2777778,1.0,0.055555556,9.0,0.5
53051.098,1.0,0.055555556,1932.0,107.333336,784.0,43.555557,1006.0,55.88889,36.0,2.0,3.0,0.16666667,24.0,1.3333334,0.0,0.0,12.0,0.6666667
60528.61,2.0,0.11111111,2331.0,129.5,1074.0,59.666668,714.0,39.666668,34.0,1.8888888,2.0,0.11111111,28.0,1.5555556,1.0,0.055555556,5.0,0.2777778
52795.26,1.0,0.055555556,1749.0,97.166664,1053.0,58.5,738.0,41.0,50.0,2.7777777,7.0,0.3888889,30.0,1.6666666,6.0,0.33333334,14.0,0.7777778
47027.31,1.0,0.055555556,1730.0,96.111115,1033.0,57.38889,757.0,42.055557,33.0,1.8333334,6.0,0.33333334,24.0,1.3333334,0.0,0.0,9.0,0.5
44456.28,3.0,0.16666667,1612.0,89.55556,1264.0,70.22222,527.0,29.277779,23.0,1.2777778,0.0,0.0,12.0,0.6666667,2.0,0.11111111,9.0,0.5
43065.0,0.0,0.0,1515.0,84.166664,928.0,51.555557,860.0,47.77778,30.0,1.6666666,4.0,0.22222222,20.0,1.1111112,3.0,0.16666667,7.0,0.3888889
49867.523,1.0,0.055555556,1711.0,95.05556,741.0,41.166668,1044.0,58.0,40.0,2.2222223,3.0,0.16666667,31.0,1.7222222,1.0,0.055555556,8.0,0.44444445
