Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
54223.62,0.0,0.0,1990.0,110.55556,964.0,53.555557,825.0,45.833332,37.0,2.0555556,3.0,0.16666667,32.0,1.7777778,0.0,0.0,5.0,0.2777778
64958.773,2.0,0.11111111,2338.0,129.88889,1116.0,62.0,674.0,37.444443,59.0,3.2777777,1.0,0.055555556,43.0,2.3888888,3.0,0.16666667,11.0,0.6111111
53041.047,3.0,0.16666667,1981.0,110.05556,1080.0,60.0,709.0,39.38889,25.0,1.3888888,1.0,0.055555556,21.0,1.1666666,0.0,0.0,4.0,0.22222222
41849.652,1.0,0.055555556,1513.0,84.05556,947.0,52.61111,843.0,46.833332,14.0,0.7777778,0.0,0.0,11.0,0.6111111,0.0,0.0,3.0,0.16666667
45067.65,2.0,0.11111111,1651.0,91.72222,978.0,54.333332,812.0,45.11111,32.0,1.7777778,1.0,0.055555556,30.0,1.6666666,0.0,0.0,2.0,0.11111111
50764.297,1.0,0.055555556,1856.0,103.111115,979.0,54.38889,810.0,45.0,44.0,2.4444444,0.0,0.0,36.0,2.0,0.0,0.0,8.0,0.44444445
46982.242,1.0,0.055555556,1843.0,102.388885,1096.0,60.88889,695.0,38.61111,37.0,2.0555556,2.0,0.11111111,24.0,1.3333334,0.0,0.0,13.0,0.7222222
49891.062,1.0,0.055555556,1798.0,99.888885,778.0,43.22222,1009.0,56.055557,32.0,1.7777778,2.0,0.11111111,25.0,1.3888888,1.0,0.055555556,6.0,0.33333334
63131.434,5.0,0.2777778,2310.0,128.33333,1310.0,72.77778,480.0,26.666666,36.0,2.0,2.0,0.11111111,28.0,1.5555556,0.0,0.0,8.0,0.44444445
55501.42,1.0,0.055555556,2145.0,119.166664,1006.0,55.88889,783.0,43.5,36.0,2.0,6.0,0.33333334,30.0,1.6666666,0.0,0.0,6.0,0.33333334
57594.043,3.0,0.16666667,2204.0,122.44444,1109.0,61.61111,679.0,37.72222,57.0,3.1666667,0.0,0.0,44.0,2.4444444,1.0,0.055555556,12.0,0.6666667
58326.78,2.0,0.11111111,2290.0,127.22222,1100.0,61.11111,689.0,38.27778,51.0,2.8333333,4.0,0.22222222,41.0,2.2777777,1.0,0.055555556,9.0,0.5
49309.273,3.0,0.16666667,1959.0,108.833336,1233.0,68.5,556.0,30.88889,31.0,1.7222222,0.0,0.0,23.0,1.2777778,0.0,0.0,8.0,0.44444445
47925.266,1.0,0.055555556,1864.0,103.55556,1045.0,58.055557,747.0,41.5,29.0,1.6111112,1.0,0.055555556,16.0,0.8888889,0.0,0.0,13.0,0.7222222
58235.734,3.0,0.16666667,2156.0,119.77778,1127.0,62.61111,663.0,36.833332,27.0,1.5,3.0,0.16666667,22.0,1.2222222,0.0,0.0,5.0,0.2777778
55548.992,1.0,0.055555556,1985.0,110.27778,980.0,54.444443,807.0,44.833332,57.0,3.1666667,3.0,0.16666667,46.0,2.5555556,1.0,0.055555556,10.0,0.5555556
51129.19,1.0,0.055555556,2006.0,111.44444,1098.0,61.0,691.0,38.38889,39.0,2.1666667,3.0,0.16666667,30.0,1.6666666,0.0,0.0,9.0,0.5
50570.85,2.0,0.11111111,1829.0,101.611115,1219.0,67.72222,573.0,31.833334,40.0,2.2222223,3.0,0.16666667,30.0,1.6666666,3.0,0.16666667,7.0,0.3888889
58701.75,3.0,0.16666667,2154.0,119.666664,928.0,51.555557,858.0,47.666668,52.0,2.8888888,1.0,0.055555556,39.0,2.1666667,4.0,0.22222222,9.0,0.5
58107.816,1.0,0.055555556,2172.0,120.666664,953.0,52.944443,834.0,46.333332,53.0,2.9444444,1.0,0.055555556,44.0,2.4444444,1.0,0.055555556,7.0,0.3888889
