1	1940.200000000000000066613381477509
2	1946.243750000000000022204460492503
3	1913.962499999999999911182158029987
4	1940.387499999999999955591079014994
5	1959.993750000000000133226762955019
6	1926.456249999999999822364316059975
7	1936.187500000000000000000000000000
8	1951.137499999999999955591079014994
9	1951.293749999999999955591079014994
10	1957.406250000000000000000000000000
11	1931.112500000000000044408920985006
12	1915.312499999999999888977697537484
13	1977.237500000000000044408920985006
14	1942.524999999999999911182158029987
15	1956.537499999999999977795539507497
16	1969.268749999999999933386618522491
17	1962.375000000000000111022302462516
18	1909.768750000000000044408920985006
19	1973.362499999999999933386618522491
20	1941.581250000000000044408920985006
21	1930.493749999999999911182158029987
22	1931.862500000000000044408920985006
23	1950.937500000000000000000000000000
24	1951.543750000000000066613381477509
25	1970.137499999999999955591079014994
