0	0
1	1940.199999999999999955591079014994
2	1946.243750000000000133226762955019
3	1913.962500000000000022204460492503
4	1940.387500000000000066613381477509
5	1959.993750000000000133226762955019
6	1926.456249999999999933386618522491
7	1936.187500000000000111022302462516
8	1951.137500000000000066613381477509
9	1951.293750000000000066613381477509
10	1957.406249999999999888977697537484
11	1931.112500000000000155431223447522
12	1915.312500000000000000000000000000
13	1977.237500000000000044408920985006
14	1942.525000000000000022204460492503
15	1956.537500000000000088817841970013
16	1969.268749999999999933386618522491
17	1962.374999999999999888977697537484
18	1909.768749999999999933386618522491
19	1973.362500000000000044408920985006
20	1941.581249999999999933386618522491
21	1930.493749999999999911182158029987
22	1931.862499999999999933386618522491
23	1950.937500000000000000000000000000
24	1951.543749999999999844568776552478
25	1970.137500000000000066613381477509
