1	1	42.35	42.35	42.35
2	2	33.65	33.65	33.65
3	3	40.45	40.45	40.45
4	4	36.75	36.75	36.75
5	5	37.65	37.65	37.65
6	6	37.1	37.1	37.1
7	7	37.0	37.0	37.0
8	8	37.15	37.15	37.15
9	9	37.25	37.25	37.25
10	10	37.2	37.2	37.2
11	11	37.2	37.2	37.2
12	12	36.9	36.9	36.9
13	13	37.25	37.25	37.25
14	14	37.05	37.05	37.05
15	15	37.15	37.15	37.15
16	16	37.15	37.15	37.15
17	17	37.35	37.35	37.35
18	18	37.15	37.15	37.15
19	19	37.3	37.3	37.3
20	20	37.35	37.35	37.35
21	21	37.3	37.3	37.3
22	22	37.35	37.35	37.35
23	23	37.3	37.3	37.3
24	24	37.4	37.4	37.4
25	25	37.4	37.4	37.4
